"species","max_size_tl","diet","position"
"Lutjanus timoriensis",50,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Lutjanus vitta",40,"Fish-cephalopod feeder","Bentho-pelagic Reef associated"
"Lutjanus vivanus",83,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Megalaspis cordyla",80,"Fish-cephalopod feeder","Pelagic Reef associated"
"Megalops atlanticus",320,"Fish-cephalopod feeder","Pelagic Reef associated"
"Melichthys niger",30,"Omnivore","Pelagic Reef dwelling"
"Menticirrhus americanus",50,"Mobile invertebrate feeder","Benthic Reef associated"
"Meuschenia scaber",31,"Sessile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Moolgarda seheli",60,"Herbivore-detritivore","Pelagic Reef associated"
"Mugil cephalus",117.5,"Herbivore-detritivore","Pelagic Reef associated"
"Mugil curema",90,"Herbivore-detritivore","Pelagic Reef associated"
"Mulloidichthys flavolineatus",43,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Mulloidichthys martinicus",39.4,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Mulloidichthys vanicolensis",38,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Mullus barbatus barbatus",31.3,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Mullus surmuletus",49.8,"Mobile invertebrate feeder","Bentho-pelagic Reef dwelling"
"Muraena augusti",90,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Muraena helena",150,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca bonaci",150,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca interstitialis",84,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca microlepis",145,"Fish-cephalopod feeder","Benthic Reef associated"
"Mycteroperca olfax",120,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Mycteroperca phenax",107,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca rosacea",86,"Mobile invertebrate feeder","Benthic Reef dwelling"
"Mycteroperca rubra",144,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca tigris",101,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Mycteroperca venenosa",100,"Fish-cephalopod feeder","Benthic Reef dwelling"
"Myripristis amaena",34,"Planktivore","Bentho-pelagic Reef dwelling"
"Myripristis murdjan",27,"Planktivore","Bentho-pelagic Reef dwelling"
"Myxus elongatus",40,"Omnivore","Pelagic Reef associated"
"Naso annulatus",100,"Planktivore","Pelagic Reef dwelling"
"Naso brachycentron",105.1,"Herbivore-macroalgae feeder","Bentho-pelagic Reef dwelling"
"Naso brevirostris",60,"Omnivore","Bentho-pelagic Reef dwelling"
