,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"manage_x[0, 4]",-0.058,0.479,-1.001,0.865,0.009,0.007,2584.0,2241.0,1.0,access restriction,piscivore
"manage_x[0, 5]",0.257,0.474,-0.668,1.163,0.009,0.007,2886.0,2986.0,1.0,access restriction,planktivore
"manage_x[1, 0]",-0.296,0.481,-1.295,0.596,0.009,0.006,2806.0,2934.0,1.0,gear restriction,browser
"manage_x[1, 1]",-0.597,0.483,-1.493,0.398,0.009,0.006,2988.0,2937.0,1.0,gear restriction,cropper/grazer
"manage_x[1, 2]",-0.107,0.479,-1.003,0.821,0.009,0.007,2779.0,2742.0,1.0,gear restriction,invertivore-mobile
"manage_x[1, 3]",-0.381,0.465,-1.239,0.575,0.009,0.007,2399.0,2466.0,1.0,gear restriction,scraper-excavator
"manage_x[1, 4]",-0.242,0.479,-1.191,0.666,0.009,0.007,2690.0,2805.0,1.0,gear restriction,piscivore
"manage_x[1, 5]",-0.752,0.473,-1.703,0.149,0.009,0.006,2991.0,3032.0,1.0,gear restriction,planktivore
"manage_x[2, 0]",-0.18,0.462,-1.026,0.762,0.009,0.006,2703.0,2700.0,1.0,no-take,browser
"manage_x[2, 1]",-0.138,0.47,-1.042,0.772,0.009,0.007,2893.0,2643.0,1.0,no-take,cropper/grazer
"manage_x[2, 2]",-0.103,0.461,-0.952,0.826,0.009,0.007,2782.0,2258.0,1.0,no-take,invertivore-mobile
"manage_x[2, 3]",-0.043,0.45,-0.875,0.875,0.009,0.007,2357.0,2831.0,1.0,no-take,scraper-excavator
"manage_x[2, 4]",-0.07,0.466,-0.984,0.831,0.009,0.007,2526.0,2427.0,1.0,no-take,piscivore
"manage_x[2, 5]",-0.305,0.457,-1.227,0.568,0.008,0.007,2901.0,2874.0,1.0,no-take,planktivore
"manage_x[3, 0]",-0.187,0.504,-1.183,0.8,0.01,0.007,2659.0,3062.0,1.0,open-access,browser
"manage_x[3, 1]",0.005,0.502,-0.941,1.013,0.009,0.007,3016.0,3197.0,1.0,open-access,cropper/grazer
"manage_x[3, 2]",-0.09,0.491,-1.018,0.879,0.009,0.007,2865.0,2706.0,1.0,open-access,invertivore-mobile
"manage_x[3, 3]",0.039,0.486,-0.957,0.972,0.01,0.007,2580.0,2639.0,1.0,open-access,scraper-excavator
"manage_x[3, 4]",-0.269,0.503,-1.325,0.627,0.01,0.007,2718.0,3014.0,1.0,open-access,piscivore
"manage_x[3, 5]",0.254,0.493,-0.726,1.208,0.009,0.007,3040.0,3106.0,1.0,open-access,planktivore
"manage_x[4, 0]",0.296,0.496,-0.754,1.203,0.009,0.007,2934.0,2926.0,1.0,time restriction,browser
"manage_x[4, 1]",0.377,0.494,-0.539,1.383,0.009,0.007,2965.0,3011.0,1.0,time restriction,cropper/grazer
"manage_x[4, 2]",0.234,0.487,-0.681,1.194,0.009,0.007,2959.0,2769.0,1.0,time restriction,invertivore-mobile
"manage_x[4, 3]",0.272,0.476,-0.614,1.235,0.01,0.007,2416.0,2851.0,1.0,time restriction,scraper-excavator
"manage_x[4, 4]",0.185,0.492,-0.762,1.166,0.01,0.008,2634.0,2597.0,1.0,time restriction,piscivore
"manage_x[4, 5]",0.319,0.49,-0.592,1.303,0.009,0.007,2919.0,2893.0,1.0,time restriction,planktivore
