"nutrient","nutrient_lab","country","site","year","reef_type","reef_zone","management_rules","hard_coral","macroalgae","turf_algae","bare_substrate","depth","grav_nc","sediment","nutrient_load","pop_count","browser","cropper/grazer","invertivore-mobile","piscivore","planktivore","scraper-excavator"
"zinc.mg","Zinc","Fiji","BuE6",2019,"fringing","fore reef","access restriction",0.225932742914382,-0.499084661363693,-0.18288554205568,-0.583743802663274,0.422320797998181,1.06056433806455,0.446759031286381,-0.222591208932904,0.68687211068607,0.0146777435099105,0.0301572058309641,0.128930669950142,0.00917581392930544,0.0082958525952178,0.80876271418446
"zinc.mg","Zinc","Fiji","DamC1",2019,"patch","back reef","access restriction",-1.26736983293213,0.119682247019774,-0.735301585103569,-0.278806949759624,-0.140863291613665,0.105489617774672,1.08484715584481,0.362804035061373,0.0363697913871825,0,0.0352288606549629,0.121587291251145,0.00367506043565287,0.400973993004446,0.438534794653794
"zinc.mg","Zinc","Fiji","DamC3",2019,"patch","back reef","time restriction",-0.304652459715645,-0.920262136817985,-1.09286188104462,1.28128196809201,-0.623089668343809,0.0926504801831829,1.14338295770359,0.462635400771646,0.430811508275896,0,0.0927120512451728,0.0272774004733367,0.00874045489266839,0,0.871270093388822
"zinc.mg","Zinc","Fiji","DamC4",2019,"patch","back reef","time restriction",2.54517961752164,-0.920262136817985,-1.22244095287067,-0.0892207415873166,0.11608944927174,0.135154564363468,1.12388605212531,0.349581609711986,0.231097942560953,0.00901846136484773,0.115723073928051,0.238181268869296,0.0103460560727682,0.114003512119838,0.5127276276452
"zinc.mg","Zinc","Fiji","DamC8",2019,"patch","fore reef","access restriction",-0.284608129838511,-0.127675952850207,-1.22244095287067,0.367613494972459,0.045691438070259,0.105489617774672,1.08484714692717,0.362804035061373,0.0363697829665066,0.0200631252579827,0.0431655424992804,0.100720202972371,0.00335897261253296,0.138800182917249,0.693891973740584
"zinc.mg","Zinc","Fiji","DamE1",2019,"patch","back reef","access restriction",-0.225654218435174,-0.0533942111475101,-0.735301585103569,-0.0127010069635542,-0.0704652804121843,0.165949804708288,0.971493195046467,0.103847863918869,0.0527053545038963,0,0.0265614288178404,0.15890417725164,0.00546739506552414,0.0164783193615723,0.792588679503423
"zinc.mg","Zinc","Fiji","DamE6",2019,"patch","fore reef","access restriction",-1.4047324465019,0.169451013960581,-0.118583145510423,-0.16459839061968,-0.176062297214406,0.158950880491702,1.05818769166338,0.166109836004951,0.276145580061267,0.0142447454757936,0.0805044301025558,0.3494800397728,0,0.142704545881326,0.413066238767524
"zinc.mg","Zinc","Fiji","DawaC1",2019,"fringing","fore reef","access restriction",-0.835237662345673,0.788217922344048,-0.670024909822778,-0.583743802663274,-0.753325989066548,1.09718621868606,1.09718480028007,0.530705871848896,0.733202033526271,0,0.0690810432454632,0.411270285372488,0,0,0.519648671382049
"zinc.mg","Zinc","Fiji","DawaC2",2019,"lagoon","fore reef","access restriction",-1.69950200351858,1.38247185596563,-0.345590090889891,-0.583743802663274,0.457519803598922,1.09718621868606,1.09718481476463,0.530705871848896,0.733202045998552,0.0282594935180318,0.11152978481501,0.0534608213750484,0.0264777234353993,0.657493651130056,0.122778525726454
"zinc.mg","Zinc","Fiji","DawaC3",2019,"fringing","fore reef","access restriction",-0.677830718898765,0.689423205879461,0.823544391751143,-0.583743802663274,0.211126764393739,1.09718621868606,1.09718479158934,0.530705871848896,0.733202027561268,0.0295305294334938,0.0209149350222983,0.241866140413961,0.0313098929833132,0,0.676378502146934
"zinc.mg","Zinc","Fiji","DawaC4",2019,"patch","fore reef","access restriction",-0.697285509661866,0.788217922344048,1.01840013885798,-0.126909566103498,-0.176062297214406,1.05770898388564,0.919774922304845,0.371435158539241,-0.569364237568157,0,0.205377806130245,0.296411183181016,0,0,0.498211010688739
"zinc.mg","Zinc","Fiji","DawaC5",2019,"patch","fore reef","access restriction",-1.30686895357236,-0.400289944899106,0.986248940585354,-0.583743802663274,0.140728753192258,1.35105214033482,0.59163031397864,0.277403776372826,0.672039840767513,0,0.0886439902846796,0.758267745673822,0,0,0.153088264041498
"zinc.mg","Zinc","Fiji","DawaC6",2019,"patch","fore reef","access restriction",-0.304652459715645,-0.375776970137216,1.14797921068403,-0.583743802663274,0.0914501453512215,1.31748595305922,0.771653011016498,0.159036882840911,0.592073719547521,0,0.0859080612238711,0.24123035170303,0,0.0262156252130105,0.646645961860089
"zinc.mg","Zinc","Fiji","DawaE1",2019,"patch","fore reef","access restriction",-0.559922896092092,0.169451013960581,0.304253825711417,-0.583743802663274,-0.834283701948251,0.899752999113146,1.47110487736667,1.67344087056075,0.423011035052657,0,0.197361163611636,0.337268086394417,0,0,0.465370749993948
"zinc.mg","Zinc","Fiji","DawaE2",2019,"fringing","fore reef","access restriction",-0.717329839539,-0.623135170007197,1.92740219911139,-0.583743802663274,-0.858923005868769,0.899752999113146,1.47110490389586,1.67344087056075,0.423011058726777,0,0.103953041588364,0.17231266288332,0,0,0.723734295528316
"zinc.mg","Zinc","Fiji","DawaE3",2019,"fringing","pinnacle","access restriction",-0.402515952645184,-0.647648144769087,1.37596043479903,-0.546054978147092,-0.387256330818848,0.899752999113146,1.47110490124294,1.67344087056075,0.423011056096319,0,0.149257308926471,0.28149008236134,0,0,0.569252608712189
"zinc.mg","Zinc","Fiji","DawaE4",2019,"fringing","fore reef","access restriction",-0.776283750942336,0.119682247019774,1.40811163307166,-0.507224068039511,-0.658288673944549,0.899752999113146,1.47110489063126,1.67344087056075,0.423011047077607,0,0.144996225972375,0.173970651880163,0,0.00850548003355729,0.672527642113904
"zinc.mg","Zinc","Fiji","DawaE5",2019,"patch","fore reef","access restriction",-1.03155418731878,0.268245730425168,0.969686202081273,-0.526639523093302,-0.0071070703308517,0.892010758458227,1.1983993771022,1.29207566159853,-0.25880591093216,0,0.282736807055822,0.213855306356611,0,0,0.503407886587567
"zinc.mg","Zinc","Fiji","DawaE6",2019,"patch","fore reef","access restriction",-1.20841592152879,-0.375776970137216,-0.377741289162519,0.520652964219984,-0.190141899454702,0.909781898326171,0.943664249403149,0.64719642904353,-0.453902837677364,0.0174546409970292,0.102931464016813,0.284748985495198,0,0.10703475916393,0.48783015032703
"zinc.mg","Zinc","Fiji","KB09",2019,"barrier","fore reef","access restriction",0.481792718404862,-0.610507273917738,-0.394304027666601,-0.526639523093302,0.267445173354924,0.0586124270622647,0.276083675652094,-0.498003369506666,-0.801327410014919,0.210871248041113,0.165858106175291,0.136187788674554,0.0213482310899556,0.148117141758404,0.317617484260683
"zinc.mg","Zinc","Fiji","KB17",2019,"fringing","fore reef","access restriction",0.402794477124391,-0.511712557453151,-0.0854576685022607,-0.46953524352333,0.390641692957515,0.0464374861146149,0.147123233527029,-0.501610055870181,-0.801327430271695,0.0720732183355312,0.08347198055674,0.159041398383504,0.0161756929479315,0.319350560930401,0.349887148845892
"zinc.mg","Zinc","Fiji","KR7",2019,"barrier","fore reef","access restriction",-0.677830718898765,-0.375776970137216,-0.0367437317255509,0.0249878175526274,0.362482488476922,0.020097157996936,0.585748707417118,-0.500833211307323,0.0468007027049437,0,0.0377395316140908,0.0919926768310272,0.00854085819628583,0.233101467965005,0.628625465393591
"zinc.mg","Zinc","Fiji","MAP01",2019,"fringing","fore reef","time restriction",0.0396383828798393,0.0454005053170771,-0.718738846599488,-0.431846419007148,0.16888795767285,0.00850343896842351,0.473444048398438,-0.499723452225195,0.0587594676802124,0.0526264397015957,0.158076199804785,0.129223488991831,0.00763503674273526,0.35700668530255,0.295432149456503
"zinc.mg","Zinc","Fiji","NAO1",2019,"fringing","fore reef","access restriction",1.30714747805157,-0.845980395115288,-0.978871268987118,-0.393015508899568,0.123129250391888,0.957044573110886,0.304136725262179,-0.392071410397616,1.14915201100933,0.0902228399627166,0.217872354420818,0.160171019412626,0.0176600220043917,0.122829848641631,0.391243915557816
"zinc.mg","Zinc","Fiji","NAO2N",2019,"fringing","back reef","time restriction",0.843180195307314,-0.400289944899106,0.433832897537465,-0.560902090835285,-0.904681713149732,0.957044573110886,0.304136755633427,-0.392071410397616,1.14915203140139,0,0.111014820051103,0.227060546126353,0,0.280028000651297,0.381896633171247
"zinc.mg","Zinc","Fiji","NAO3",2019,"fringing","back reef","access restriction",0.599700541211535,-0.164816823701556,-0.167297082287133,-0.45011978846954,-0.665328475064697,0.957044573110886,0.304136725262179,-0.392071410397616,1.14915200430231,0,0.0867157035873676,0.241765071543323,0,0.0396620907920181,0.631857134077291
