"nutrient","nutrient_lab","country","site","year","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","reef_type","reef_zone","depth","management_rules","grav_nc","sediment","nutrient_load","pop_count","herbivore-detritivore","herbivore-macroalgae","invertivore-mobile","omnivore","piscivore","planktivore"
"selenium.mug","Selenium","Fiji","Vatu02",2017,46.67,4.33,2,1,29,"fringing","fore reef",11,"restriction",-2.1670442493954,0,0,1.23884842978848,0.101539747010347,0.344784974066302,0.35458451688973,0.0346380147943283,0.106748730623309,0.0577040166159847
"selenium.mug","Selenium","Fiji","Vatu03",2017,36,30.33,1,9.67,1.33,"fringing","fore reef",9.97,"restriction",-2.1670442493954,0,0,1.23884845484587,0.333906292831364,0.0656900301252288,0.150442657777383,0.0677667266747636,0.222055915069633,0.160138377521628
"selenium.mug","Selenium","Fiji","Vatu04",2017,34.67,18.33,1.67,9.33,2.67,"fringing","fore reef",10,"restriction",-2.1670442493954,0,0,1.23884845484587,0.510419261604008,0.138447747715546,0.0391046455499832,0.216774549410558,0.0609477458470567,0.0343060498728491
"selenium.mug","Selenium","Fiji","Vatu05",2017,20.33,1.67,1,22,2.67,"fringing","fore reef",10.67,"restriction",-2.1670442493954,0,0,1.23884845484587,0.190082924643246,0.0681704889948404,0.31438416448283,0.245101685828202,0.144610661415262,0.0376500746356203
"selenium.mug","Selenium","Fiji","Vatu06",2017,21,1.33,26.67,8.33,13,"fringing","fore reef",10,"restriction",-2.1670442493954,0,0,1.23884845484587,0.198342055776409,0.100191369590404,0.171026894814273,0.471688035620482,0.0537543105562754,0.00499733364215722
"selenium.mug","Selenium","Fiji","WaiE2",2019,19,12.33,7,7.33,15,"patch","fore reef",7.33,"restriction",1.28149093162505,1.70394458153911,0.0107603022295112,2.43653758672149,0.594353487202357,0.00586105116143814,0.123014822286522,0.144526795986633,0.113082986829642,0.0191608565334068
"selenium.mug","Selenium","Fiji","WaiE5",2019,10,22,15,1,8.67,"patch","fore reef",6.03,"restriction",1.28462843383306,1.80336540564203,0.0109047484434043,3.45978624340369,0.32264652428205,0.0062895790628419,0.327762490439209,0.122297998186924,0.141806645348545,0.0791967626804297
"selenium.mug","Selenium","Fiji","Yac02",2017,34,1,9.67,10,9.33,"fringing","fore reef",11,"restriction",-3.44249279809434,0.423210801192671,0,2.23390428581903,0.141814559107533,0.178325396682932,0.191354079875244,0.38527269182294,0.0985661202753122,0.00466715223603852
"selenium.mug","Selenium","Fiji","Yac03",2017,10.67,9.33,1.67,54,0.67,"fringing","fore reef",10.17,"restriction",-3.44249279809434,0.423210801192671,0,2.2339043010256,0.15322208822193,0.0514708689224793,0.198587994589966,0.278661303902552,0.19246477148868,0.125592972874393
"selenium.mug","Selenium","Fiji","Yac04",2017,15.33,30,6.67,16.33,2.33,"fringing","fore reef",10.1,"restriction",-3.44249279809434,0.329036461101657,0,2.21686170741671,0.147276783748732,0.0427288181967972,0.146423702933087,0.401036793345457,0.0234367821905691,0.239097119585358
