,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
population[4],-0.343,0.199,-0.729,0.05,0.004,0.003,2170.0,1757.0,1.0,population[4],planktivore
population[5],0.232,0.174,-0.094,0.579,0.003,0.002,2974.0,2303.0,1.0,population[5],omnivore
gravity[0],0.011,0.151,-0.274,0.317,0.004,0.003,1830.0,2132.0,1.0,gravity[0],herbivore-detritivore
gravity[1],0.134,0.179,-0.228,0.477,0.003,0.003,2981.0,2271.0,1.0,gravity[1],herbivore-macroalgae
gravity[2],0.167,0.162,-0.143,0.494,0.004,0.003,2051.0,2038.0,1.0,gravity[2],invertivore-mobile
gravity[3],0.117,0.184,-0.232,0.484,0.004,0.003,2148.0,2653.0,1.0,gravity[3],piscivore
gravity[4],0.153,0.18,-0.193,0.505,0.003,0.003,2802.0,2407.0,1.0,gravity[4],planktivore
gravity[5],-0.249,0.18,-0.612,0.096,0.003,0.003,2650.0,2347.0,1.0,gravity[5],omnivore
sediment[0],0.115,0.186,-0.237,0.485,0.004,0.003,2276.0,2256.0,1.0,sediment[0],herbivore-detritivore
sediment[1],-0.0,0.19,-0.351,0.394,0.004,0.003,2322.0,1828.0,1.0,sediment[1],herbivore-macroalgae
sediment[2],0.031,0.171,-0.311,0.343,0.004,0.003,1846.0,2081.0,1.0,sediment[2],invertivore-mobile
sediment[3],-0.07,0.169,-0.41,0.245,0.003,0.003,2446.0,2211.0,1.0,sediment[3],piscivore
sediment[4],0.072,0.18,-0.289,0.412,0.004,0.003,2066.0,2148.0,1.0,sediment[4],planktivore
sediment[5],-0.074,0.173,-0.412,0.259,0.003,0.003,2524.0,2323.0,1.0,sediment[5],omnivore
nut_load[0],0.049,0.166,-0.279,0.363,0.004,0.003,2138.0,2054.0,1.0,nut_load[0],herbivore-detritivore
nut_load[1],-0.134,0.173,-0.476,0.209,0.003,0.003,2579.0,2251.0,1.0,nut_load[1],herbivore-macroalgae
nut_load[2],-0.253,0.162,-0.599,0.036,0.003,0.002,2647.0,2276.0,1.0,nut_load[2],invertivore-mobile
nut_load[3],-0.004,0.17,-0.311,0.354,0.003,0.003,2496.0,2243.0,1.0,nut_load[3],piscivore
nut_load[4],0.077,0.182,-0.283,0.42,0.004,0.003,2616.0,2346.0,1.0,nut_load[4],planktivore
nut_load[5],0.02,0.187,-0.334,0.394,0.004,0.003,2671.0,2454.0,1.0,nut_load[5],omnivore
depth[0],-0.002,0.154,-0.303,0.283,0.004,0.003,1870.0,2015.0,1.0,depth[0],herbivore-detritivore
depth[1],0.168,0.173,-0.156,0.515,0.003,0.003,2818.0,2323.0,1.0,depth[1],herbivore-macroalgae
depth[2],-0.064,0.171,-0.401,0.268,0.005,0.003,1369.0,1971.0,1.0,depth[2],invertivore-mobile
depth[3],0.209,0.164,-0.126,0.52,0.003,0.003,2244.0,2280.0,1.0,depth[3],piscivore
depth[4],0.294,0.153,-0.02,0.579,0.004,0.003,1593.0,1734.0,1.0,depth[4],planktivore
depth[5],0.077,0.17,-0.274,0.395,0.004,0.003,2132.0,2537.0,1.0,depth[5],omnivore
"reeftype_x[0,0]",-0.221,0.531,-1.222,0.809,0.019,0.013,783.0,1221.0,1.0,barrier,herbivore-detritivore
"reeftype_x[0,1]",-0.126,0.535,-1.148,0.931,0.019,0.013,802.0,1575.0,1.0,barrier,herbivore-macroalgae
"reeftype_x[0,2]",-0.093,0.537,-1.097,1.041,0.022,0.015,611.0,920.0,1.01,barrier,invertivore-mobile
"reeftype_x[0,3]",-0.223,0.529,-1.203,0.801,0.018,0.013,880.0,1637.0,1.0,barrier,piscivore
"reeftype_x[0,4]",-0.378,0.535,-1.456,0.631,0.019,0.013,786.0,1295.0,1.0,barrier,planktivore
