"country","zone_id","gears_category","times_category","fishing_intensity","size","age","site"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Andravona_08"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Sala_14"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Sal_N1_11"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Sal_N2_05"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Sal_N2_13"
"Madagascar","Soariake Restricted","Moderate","Moderate","high",38258,"8","Tsand_10"
"Kenya","Takaungu control","Limited","None","High",0,"NA","Takaungu"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Gili Dewa"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Gili Tai Kebo"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Kampung Pecak"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Labajo"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Panjang 1"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Panjang 2"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Pulau Bakau"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Pulau Lipan"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Takad Tabampang"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Takad Tanjung Billa"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Tanjung Batu"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Tanjung Lepek Tambora"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Tanjung Padang"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Tanjung Sentigi"
"Indonesia","Rakit Lipan control","None","None","High",0,"NA","Tanjung Tengah"
"Indonesia","Sulat Lawang control","Limited","None","High",0,"NA","NA"
"Indonesia","Sulat Lawang LMMA","Limited","None","Medium to high",0,"NA","Gili Bidara"
"Indonesia","Sulat Lawang LMMA","Limited","None","Medium to high",0,"NA","Gili Kondo"
"Indonesia","Sulat Lawang LMMA","Limited","None","Medium to high",0,"NA","Gili Petagan"
"Indonesia","Sulat Lawang LMMA","Limited","None","Medium to high",0,"NA","Gili Petagan"
"Indonesia","Sulat Lawang core zone","All gears prohibited","Closed year-round","Low to medium",344.8,"0","Gili Sulat Tenggara"
"Indonesia","Sulat Lawang core zone","All gears prohibited","Closed year-round","Low to medium",344.8,"0","Gili Lawang Barat"
"Indonesia","Sulat Lawang core zone","All gears prohibited","Closed year-round","Low to medium",344.8,"0","Gili Sulat Selatan"
"Indonesia","Sulat Lawang fisheries utilization","Limited","None","Medium to high",9235.2,"0","Gili Lawang Utara 1"
"Indonesia","Sulat Lawang fisheries utilization","Limited","None","Medium to high",9235.2,"0","Gili Lawang Utara 2"
"Indonesia","Sulat Lawang fisheries utilization","Limited","None","Medium to high",9235.2,"0","Gili Sulat Timur"
"Indonesia","Sulat Lawang utilization_tourism","Limited","None","Medium to high",410.2,"NA","Tekalok Timur"
"Indonesia","Sulat Lawang utilization_tourism","Limited","None","Medium to high",410.2,"NA","Batu Mandi"
"Indonesia","Sulat Lawang utilization_tourism","Limited","None","Medium to high",410.2,"NA","Gili Sulat Barat"
"Indonesia","Sulat Lawang utilization_tourism","Limited","None","Medium to high",410.2,"NA","Pekaja Gili Lawang"
"Fiji","Tokou village tabu","All gears prohibited","Closed year-round","medium - when they enagage in traditional fish drives",60,"9","NA"
"Mauritius","Anse Aux Anglais MPA","Limited","Limited","Medium",150,"12","NA"
"Mauritius","Baie Du Nord potential","Limited","None","Medium", ,"35","NA"
"Mauritius","Baie Lascars potential","Limited","None","Medium", ,"35","NA"
"Solomon Islands","Chubikopi No Take","All gears prohibited","Closed year-round","Low",56,"4","Chubikopi 1"
"Solomon Islands","Chubikopi No Take","All gears prohibited","Closed year-round","Low",56,"4","Chubikopi 2"
"Solomon Islands","Chubikopi No Take","All gears prohibited","Closed year-round","Low",56,"4","Chubikopi 3"
"Mauritius","Grand Bassin MPA (Baie Du Nord MPA)","All gears prohibited","Closed year-round","Medium",1410,"12","NA"
"Solomon Islands","Kicha No Take","All gears prohibited","Closed year-round","Low",600,"3","Kicha 1 PC"
"Mauritius","Riviere Banane MPA","All gears prohibited","Closed year-round","Medium",150,"12","NA"
"Solomon Islands","Zaira Marine Tenure Area","None","Limited","Low",1800,"7","Zaira F 1"
"Solomon Islands","Zaira Marine Tenure Area","None","Limited","Low",1800,"7","Zaira F 2"
"Solomon Islands","Zaira Marine Tenure Area","None","Limited","Low",1800,"7","Zaira F 3"
