,country,site,longitude,latitude,score,scorecn,scorecy,scorepfc,scoreth,scoretr,reefpct,grav_NC,sediment,nutrient,pop_count,num_ports,reef_value
140,Indonesia,Cemara Besar 1,110.37822,-5.80675,0.08966,-0.29869,0.76178,0.15658,0.64141,0.56102,0.0488,8.323100103,6.895014763,0,19318.78003,0,525
141,Indonesia,Cemara Besar 2,110.38098,-5.8031,0.08966,-0.29869,0.76178,0.15658,0.64141,0.56102,0.0488,8.323100103,6.895014763,0,19318.78003,0,525
142,Indonesia,Cemara Kecil 1,110.38224,-5.83129,0.08966,-0.29869,0.76178,0.15658,0.64141,0.56102,0.0488,8.323100103,6.895014763,0,19318.78003,0,525
143,Indonesia,Cemara Kecil 2,110.381165,-5.833226,0.08966,-0.29869,0.76178,0.15658,0.64141,0.56102,0.0488,8.323100103,6.895014763,0,19318.78003,0,525
144,Indonesia,Cendekian,110.55876,-5.80419,0.06847,-1.09328,0.76178,0.16698,0.72314,0.52567,0.0216,9.612508198,2.742912054,0,3564.977592,0,94
145,Indonesia,Gelean,110.3594,-5.88023,0.09651,-0.29869,0.76178,0.15534,0.70973,0.65294,0.0204,9.995258153,7.240660667,0,21252.17859,0,830
146,Indonesia,Genting 1,110.60538,-5.86211,0.10218,-0.33807,0.76178,0.16819,0.79546,0.59266,0.026,10.55218772,0.323593408,0,2819.932098,0,45
147,Indonesia,Genting 2,110.60616,-5.8336,0.07885,-0.82412,0.76178,0.16952,0.73572,0.5012,0.0224,9.612508198,0.33146432,0,3042.769104,0,65
148,Indonesia,Genting 3,110.61131,-5.84098,0.07885,-0.82412,0.76178,0.16952,0.73572,0.5012,0.0224,9.612508198,0.33146432,0,3042.769104,0,65
149,Indonesia,Gosong Selikur 1,110.204483,-5.729274,0.03345,-1.31659,0.76178,0.15104,0.44732,0.29939,0.0616,6.520513297,0,0,5901.81369,0,57
150,Indonesia,Gosong Selikur 2,110.207648,-5.727058,0.03345,-1.31659,0.76178,0.15104,0.44732,0.29939,0.0616,6.520513297,0,0,5901.81369,0,57
151,Indonesia,Gosong Tengah,110.51065,-5.7998,0.06121,-1.09328,0.76178,0.16574,0.63601,0.51933,0.0332,8.431690552,3.324260473,0,15132.04574,0,907
152,Indonesia,Karang Kapal,110.24403,-5.89937,0.07953,-0.62424,0.76178,0.14751,0.66325,0.58396,0.104,9.145515584,0.005113014,0,1713.106079,0,50
153,Indonesia,Karang Katang,110.149306,-5.804122,0.04635,-1.31659,0.76178,0.14342,0.58505,0.45287,0.1384,7.270587258,0,0,1616.724918,0,0
154,Indonesia,Katang 1,110.166105,-5.798441,0.04225,-1.31659,0.76178,0.14721,0.54149,0.39517,0.0572,6.827273694,0,0,6646.317905,0,10
155,Indonesia,Katang 2,110.164412,-5.802959,0.07252,-0.62424,0.76178,0.14605,0.60018,0.46758,0.2556,7.472337584,0,0,2986.226627,0,67
