,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,varname,fg
"reeftype_x[1,4]",-0.29,0.515,-1.279,0.704,0.018,0.013,826.0,1391.0,1.0,fringing,planktivore
"reeftype_x[1,5]",0.331,0.521,-0.67,1.377,0.018,0.012,877.0,1320.0,1.0,fringing,omnivore
"reeftype_x[2,0]",-0.165,0.633,-1.37,1.034,0.016,0.012,1480.0,1962.0,1.0,lagoon,herbivore-detritivore
"reeftype_x[2,1]",-0.368,0.644,-1.688,0.793,0.017,0.012,1517.0,1960.0,1.0,lagoon,herbivore-macroalgae
"reeftype_x[2,2]",-1.031,0.669,-2.395,0.182,0.016,0.011,1824.0,2195.0,1.0,lagoon,invertivore-mobile
"reeftype_x[2,3]",0.213,0.635,-1.121,1.374,0.015,0.011,1799.0,2420.0,1.0,lagoon,piscivore
"reeftype_x[2,4]",0.756,0.693,-0.527,2.164,0.018,0.013,1454.0,1760.0,1.0,lagoon,planktivore
"reeftype_x[2,5]",-0.528,0.661,-1.822,0.719,0.015,0.011,1914.0,1975.0,1.0,lagoon,omnivore
"reeftype_x[3,0]",-0.062,0.524,-1.05,0.966,0.017,0.012,909.0,1503.0,1.0,patch,herbivore-detritivore
"reeftype_x[3,1]",-0.129,0.538,-1.178,0.937,0.017,0.012,976.0,1519.0,1.0,patch,herbivore-macroalgae
"reeftype_x[3,2]",0.372,0.541,-0.707,1.377,0.017,0.012,1010.0,1767.0,1.0,patch,invertivore-mobile
"reeftype_x[3,3]",-0.336,0.538,-1.379,0.703,0.017,0.012,1023.0,1594.0,1.0,patch,piscivore
"reeftype_x[3,4]",-0.04,0.53,-1.077,0.965,0.018,0.013,822.0,1820.0,1.0,patch,planktivore
"reeftype_x[3,5]",-0.192,0.53,-1.206,0.882,0.017,0.012,954.0,1637.0,1.0,patch,omnivore
"reefzone_x[0,0]",0.087,0.701,-1.37,1.36,0.029,0.021,582.0,1609.0,1.0,back reef,herbivore-detritivore
"reefzone_x[0,1]",-0.037,0.718,-1.474,1.346,0.026,0.018,774.0,1284.0,1.0,back reef,herbivore-macroalgae
"reefzone_x[0,2]",0.195,0.734,-1.185,1.676,0.026,0.019,778.0,1421.0,1.0,back reef,invertivore-mobile
"reefzone_x[0,3]",-0.009,0.696,-1.335,1.348,0.021,0.015,1114.0,2052.0,1.0,back reef,piscivore
"reefzone_x[0,4]",-0.026,0.692,-1.355,1.321,0.028,0.02,619.0,1029.0,1.0,back reef,planktivore
"reefzone_x[0,5]",-0.124,0.728,-1.546,1.326,0.024,0.017,914.0,1392.0,1.0,back reef,omnivore
"reefzone_x[1,0]",-0.018,0.684,-1.273,1.371,0.031,0.022,477.0,1074.0,1.0,fore reef,herbivore-detritivore
"reefzone_x[1,1]",-0.076,0.715,-1.502,1.358,0.029,0.02,612.0,1044.0,1.01,fore reef,herbivore-macroalgae
"reefzone_x[1,2]",-0.078,0.723,-1.398,1.413,0.03,0.021,578.0,1072.0,1.0,fore reef,invertivore-mobile
"reefzone_x[1,3]",0.203,0.668,-1.064,1.482,0.022,0.016,906.0,1711.0,1.0,fore reef,piscivore
"reefzone_x[1,4]",0.209,0.702,-1.097,1.626,0.032,0.023,483.0,884.0,1.0,fore reef,planktivore
"reefzone_x[1,5]",-0.002,0.708,-1.384,1.337,0.027,0.019,693.0,1409.0,1.0,fore reef,omnivore
"β0_cnc[0,0]",0.015,0.967,-1.833,1.924,0.014,0.019,4826.0,2185.0,1.0,Fiji,herbivore-detritivore
"β0_cnc[0,1]",-0.056,0.963,-1.847,1.94,0.015,0.02,4133.0,2203.0,1.0,Fiji,herbivore-macroalgae
"β0_cnc[0,2]",0.094,1.001,-1.789,2.082,0.013,0.02,5828.0,2216.0,1.0,Fiji,invertivore-mobile
"β0_cnc[0,3]",0.028,0.958,-1.84,1.836,0.014,0.018,4683.0,2306.0,1.0,Fiji,piscivore
"β0_cnc[0,4]",-0.1,0.973,-2.048,1.684,0.013,0.02,5789.0,2338.0,1.0,Fiji,planktivore
"β0_cnc[0,5]",0.006,0.974,-1.934,1.87,0.014,0.02,4520.0,2065.0,1.01,Fiji,omnivore
"β0_cnc[1,0]",-0.018,1.005,-2.128,1.762,0.012,0.02,6960.0,2277.0,1.0,Madagascar,herbivore-detritivore
"β0_cnc[1,1]",0.008,0.998,-2.004,1.862,0.015,0.02,4722.0,2259.0,1.0,Madagascar,herbivore-macroalgae
"β0_cnc[1,2]",0.046,0.968,-1.881,1.875,0.015,0.018,4217.0,2571.0,1.0,Madagascar,invertivore-mobile
"β0_cnc[1,3]",0.047,0.977,-1.775,2.033,0.014,0.021,4968.0,2073.0,1.0,Madagascar,piscivore
"β0_cnc[1,4]",0.045,0.95,-1.892,1.816,0.012,0.02,6176.0,1962.0,1.0,Madagascar,planktivore
"β0_cnc[1,5]",-0.038,1.003,-2.035,1.981,0.014,0.022,4844.0,2101.0,1.0,Madagascar,omnivore
"β0_cnc[2,0]",-0.023,0.978,-1.869,1.97,0.013,0.022,5696.0,2182.0,1.01,Solomon Islands,herbivore-detritivore
"β0_cnc[2,1]",-0.018,0.986,-1.912,1.91,0.013,0.019,6049.0,2373.0,1.0,Solomon Islands,herbivore-macroalgae
"β0_cnc[2,2]",-0.068,0.963,-1.943,1.856,0.015,0.018,4275.0,2125.0,1.0,Solomon Islands,invertivore-mobile
